accx,accy,accz,gyrox,gyroy,gyroz,light,magx,magy,magz,orientx,orienty,orientz,proximity,atmosphere,sound,loclat,loclon,localt,locspeed,locacc,temp,level,voltage,time
1.1171, 1.0315, 9.0027, 0.1268, 0.2984, 0.4775, 14.0224, -26.5, -9.5, -32.0, 98.82, -9.03, -6.85, 5.0, 1009.88, 33.591, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2165, 
1.1171, 1.0315, 9.0027, 0.1268, 0.2984, 0.4775, 14.0224, -26.5, -9.5, -32.0, 98.82, -9.03, -6.85, 5.0, 1009.88, 33.591, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2215, 
1.1171, 1.0315, 9.0027, 0.1268, 0.2984, 0.4775, 14.0224, -26.5, -9.5, -32.0, 98.82, -9.03, -6.85, 5.0, 1010.03, 33.524, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2267, 
1.6834, 0.2382, 9.4269, -1.0381, 0.3134, 0.1023, 15.0442, -27.6, -5.2, -33.3, 88.25, -9.03, -6.85, 5.0, 1010.03, 33.524, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2334, 
1.6834, 0.2382, 9.4269, -1.0381, 0.3134, 0.1023, 15.0442, -27.6, -5.2, -33.3, 88.25, -9.03, -6.85, 5.0, 1010.03, 33.524, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2385, 
1.6, -0.5797, 10.1657, -0.6129, 0.1108, -0.0863, 15.0442, -27.6, -5.2, -33.3, 88.25, -9.03, -6.85, 5.0, 1010.03, 33.524, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2451, 
1.6, -0.5797, 10.1657, -0.6129, 0.1108, -0.0863, 17.1149, -27.3, -0.7, -33.6, 88.25, -9.03, -6.85, 5.0, 1010.03, 33.524, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2519, 
1.6267, -1.1966, 9.8012, -0.6726, 0.2398, -0.1108, 17.1149, -27.3, -0.7, -33.6, 88.25, -9.03, -6.85, 5.0, 1010.03, 33.524, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2588, 
1.6267, -1.1966, 9.8012, -0.6726, 0.2398, -0.1108, 17.1149, -27.3, -0.7, -33.6, 88.25, -9.03, -6.85, 5.0, 1010.03, 31.59, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2638, 
1.6267, -1.1966, 9.8012, -0.6726, 0.2398, -0.1108, 18.148, -27.3, -0.7, -33.6, 88.25, -9.03, -6.85, 5.0, 1010.03, 31.59, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2689, 
1.6994, -2.1135, 9.2985, -0.5649, -0.2238, 0.0192, 18.148, -28.1, 2.2, -35.1, 92.35, 4.29, -8.83, 5.0, 1010.03, 31.59, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2777, 
1.6994, -2.1135, 9.2985, -0.5649, -0.2238, 0.0192, 18.148, -28.1, 2.2, -35.1, 92.35, 4.29, -8.83, 5.0, 1010.03, 31.59, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2827, 
1.8274, -2.7823, 9.4693, -0.8068, -0.1919, 0.1045, 18.148, -28.1, 2.2, -35.1, 92.35, 4.29, -8.83, 5.0, 1010.03, 31.59, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2877, 
1.8274, -2.7823, 9.4693, -0.8068, -0.1919, 0.1045, 20.8893, -28.6, 7.7, -34.4, 92.35, 4.29, -8.83, 5.0, 1010.03, 31.59, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2936, 
1.3949, -2.4797, 11.1081, -0.5169, 0.0512, -0.0117, 20.8893, -28.6, 7.7, -34.4, 92.35, 4.29, -8.83, 5.0, 1010.03, 32.211, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3018, 
1.3949, -2.4797, 11.1081, -0.5169, 0.0512, -0.0117, 20.8893, -27.1, 9.0, -35.3, 102.03, 18.49, -11.89, 5.0, 1010.03, 32.211, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3110, 
0.4241, 1.0501, 16.6809, 0.7216, 0.1599, 0.437, 22.4115, -27.1, 9.0, -35.3, 102.03, 18.49, -11.89, 5.0, 1010.03, 32.211, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3171, 
0.4241, 1.0501, 16.6809, 0.7216, 0.1599, 0.437, 22.4115, -27.1, 9.0, -35.3, 102.03, 18.49, -11.89, 5.0, 1010.03, 32.211, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3223, 
1.4292, 0.8091, 19.4775, 3.0803, 1.0861, -0.0554, 22.4115, -22.8, -6.0, -33.4, 102.03, 18.49, -11.89, 5.0, 1010.03, 32.211, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3311, 
1.4292, 0.8091, 19.4775, 3.0803, 1.0861, -0.0554, 17.1149, -22.8, -6.0, -33.4, 102.03, 18.49, -11.89, 5.0, 1010.03, 62.258, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3380, 
1.508, -0.5094, 3.898, -0.2494, 3.5567, 0.4199, 17.1149, -22.8, -6.0, -33.4, 102.03, 18.49, -11.89, 5.0, 1010.03, 62.258, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3454, 
1.508, -0.5094, 3.898, -0.2494, 3.5567, 0.4199, 16.1405, -12.0, -15.8, -39.1, 141.42, -3.41, -1.64, 5.0, 1009.94, 62.258, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3509, 
-0.2606, 0.1147, 0.1428, -0.6331, 3.4118, 0.2888, 16.1405, -12.0, -15.8, -39.1, 141.42, -3.41, -1.64, 5.0, 1009.94, 62.258, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3593, 
-0.2606, 0.1147, 0.1428, -0.6331, 3.4118, 0.2888, 16.1405, -12.0, -15.8, -39.1, 141.42, -3.41, -1.64, 5.0, 1009.94, 62.258, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3643, 
-0.2606, 0.1147, 0.1428, -0.6331, 3.4118, 0.2888, 23.4875, 19.3, -9.5, -38.9, 141.42, -3.41, -1.64, 5.0, 1009.94, 62.258, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3717, 
-0.2494, 0.1621, 0.1639, -0.6267, 3.1848, 0.016, 23.4875, 19.3, -9.5, -38.9, 141.42, -3.41, -1.64, 5.0, 1009.94, 64.133, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3782, 
-0.2494, 0.1621, 0.1639, -0.6267, 3.1848, 0.016, 23.4875, 19.3, -9.5, -38.9, 141.42, -3.41, -1.64, 5.0, 1009.94, 64.133, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3832, 
-0.2474, 0.1727, -0.11, -0.599, 3.1059, -0.1172, 22.9432, 39.9, -3.7, -19.3, 325.43, -17.61, 56.15, 5.0, 1009.94, 64.133, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3906, 
-0.2474, 0.1727, -0.11, -0.599, 3.1059, -0.1172, 22.9432, 39.9, -3.7, -19.3, 325.43, -17.61, 56.15, 5.0, 1009.94, 64.133, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 3956, 
-0.2474, 0.1727, -0.11, -0.599, 3.1059, -0.1172, 22.9432, 39.9, -3.7, -19.3, 325.43, -17.61, 56.15, 5.0, 1009.94, 64.133, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4006, 
-0.6664, 0.0476, -1.4128, -1.068, 5.0681, -0.388, 22.9432, 39.9, -3.7, -19.3, 325.43, -17.61, 56.15, 0.0, 1009.94, 61.456, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4063, 
-0.6664, 0.0476, -1.4128, -1.068, 5.0681, -0.388, 4.0, 5.1, -9.6, 35.9, 325.43, -17.61, 56.15, 0.0, 1009.94, 61.456, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4123, 
4.2037, 1.0086, -12.3505, -2.784, -2.2894, -0.0597, 4.0, 5.1, -9.6, 35.9, 325.43, -17.61, 56.15, 0.0, 1009.94, 61.456, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4195, 
4.2037, 1.0086, -12.3505, -2.784, -2.2894, -0.0597, 4.0, 5.1, -9.6, 35.9, 325.43, -17.61, 56.15, 0.0, 1009.94, 61.456, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4245, 
4.2037, 1.0086, -12.3505, -2.784, -2.2894, -0.0597, 4.0, 5.1, -9.6, 35.9, 325.43, -17.61, 56.15, 0.0, 1009.94, 61.456, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4295, 
-0.4121, 6.5959, -3.9461, 5.2323, 4.8869, 2.6849, 4.0, 14.0, -6.1, 37.7, 44.87, -32.3, -178.53, 0.0, 1009.94, 61.456, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4360, 
-0.4121, 6.5959, -3.9461, 5.2323, 4.8869, 2.6849, 4.0, 14.0, -6.1, 37.7, 44.87, -32.3, -178.53, 0.0, 1009.94, 76.283, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4410, 
4.1899, 3.8332, -8.1588, 0.404, 0.1524, 0.4349, 4.0, 14.0, -6.1, 37.7, 44.87, -32.3, -178.53, 0.0, 1009.94, 76.283, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4475, 
4.1899, 3.8332, -8.1588, 0.404, 0.1524, 0.4349, 4.0, 15.4, -6.2, 37.9, 44.87, -32.3, -178.53, 0.0, 1009.94, 76.283, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4549, 
3.1765, 3.8061, -8.4068, -0.0021, 0.0021, 0.0021, 4.0, 15.4, -6.2, 37.9, 44.87, -32.3, -178.53, 0.0, 1009.94, 76.283, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4622, 
3.1765, 3.8061, -8.4068, -0.0021, 0.0021, 0.0021, 5.5541, 15.4, -6.2, 37.9, 44.87, -32.3, -178.53, 0.0, 1009.94, 76.283, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4672, 
3.0806, 3.844, -8.4896, 0.0117, 0.0011, 0.0021, 5.5541, 15.3, -6.0, 37.4, 77.02, -22.33, -161.53, 0.0, 1009.94, 76.283, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4748, 
3.0806, 3.844, -8.4896, 0.0117, 0.0011, 0.0021, 5.5541, 15.3, -6.0, 37.4, 77.02, -22.33, -161.53, 0.0, 1009.94, 41.831, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4798, 
3.0806, 3.844, -8.4896, 0.0117, 0.0011, 0.0021, 5.5541, 15.3, -6.0, 37.4, 77.02, -22.33, -161.53, 0.0, 1010.06, 41.831, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4848, 
3.1843, 3.8416, -8.4722, -0.0032, 0.0021, 0.0011, 5.5541, 15.3, -6.0, 37.4, 77.02, -22.33, -161.53, 0.0, 1010.06, 41.831, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4899, 
3.1843, 3.8416, -8.4722, -0.0032, 0.0021, 0.0011, 5.5541, 14.7, -6.0, 37.3, 77.02, -22.33, -161.53, 0.0, 1010.06, 41.831, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 4972, 
3.1277, 3.8726, -8.4748, -0.0075, 0.0, 0.0, 5.5541, 14.7, -6.0, 37.3, 77.02, -22.33, -161.53, 0.0, 1010.06, 41.831, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5033, 
3.1277, 3.8726, -8.4748, -0.0075, 0.0, 0.0, 5.5541, 14.7, -6.0, 37.3, 77.02, -22.33, -161.53, 0.0, 1010.06, 41.831, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5083, 
3.1277, 3.8726, -8.4748, -0.0075, 0.0, 0.0, 5.5541, 14.7, -6.0, 37.3, 77.02, -22.33, -161.53, 0.0, 1010.06, 33.397, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5134, 
3.1361, 3.8257, -8.4664, 0.0, -0.0011, 0.0, 5.5541, 15.1, -6.1, 37.6, 76.72, -22.89, -160.09, 0.0, 1010.06, 33.397, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5198, 
3.1361, 3.8257, -8.4664, 0.0, -0.0011, 0.0, 5.5541, 15.1, -6.1, 37.6, 76.72, -22.89, -160.09, 0.0, 1010.06, 33.397, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5248, 
3.1095, 3.8283, -8.4788, 0.0, 0.0, 0.0011, 5.6859, 15.1, -6.1, 37.6, 76.72, -22.89, -160.09, 0.0, 1010.06, 33.397, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5315, 
3.1095, 3.8283, -8.4788, 0.0, 0.0, 0.0011, 5.6859, 15.1, -6.3, 38.1, 76.72, -22.89, -160.09, 0.0, 1010.06, 33.397, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5391, 
3.1493, 3.862, -8.5201, -0.0043, 0.0, 0.0011, 5.6859, 15.1, -6.3, 38.1, 76.72, -22.89, -160.09, 0.0, 1010.06, 33.901, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5458, 
3.1493, 3.862, -8.5201, -0.0043, 0.0, 0.0011, 6.8589, 15.1, -6.3, 38.1, 76.72, -22.89, -160.09, 0.0, 1010.06, 33.901, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5508, 
3.1493, 3.862, -8.5201, -0.0043, 0.0, 0.0011, 6.8589, 15.1, -6.3, 38.1, 76.72, -22.89, -160.09, 0.0, 1010.06, 33.901, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5559, 
3.0361, 3.8376, -8.4007, -0.0032, 0.0117, 0.0021, 6.8589, 15.0, -6.2, 38.5, 76.14, -22.96, -159.99, 0.0, 1010.06, 33.901, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5611, 
3.0361, 3.8376, -8.4007, -0.0032, 0.0117, 0.0021, 6.8589, 15.0, -6.2, 38.5, 76.14, -22.96, -159.99, 0.0, 1010.06, 33.901, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5661, 
3.1887, 3.8051, -8.6596, 0.0053, -0.0266, -0.0032, 6.8589, 15.2, -6.4, 37.9, 76.14, -22.96, -159.99, 0.0, 1010.06, 33.901, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5758, 
3.1887, 3.8051, -8.6596, 0.0053, -0.0266, -0.0032, 6.8589, 15.2, -6.4, 37.9, 76.14, -22.96, -159.99, 0.0, 1010.06, 52.677, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5809, 
3.0081, 3.7591, -8.0742, -0.0735, 0.0277, 0.0522, 6.8589, 15.2, -6.4, 37.9, 76.14, -22.96, -159.99, 0.0, 1010.06, 52.677, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5893, 
3.0081, 3.7591, -8.0742, -0.0735, 0.0277, 0.0522, 6.8589, 14.7, -6.1, 37.3, 77.45, -23.11, -159.46, 0.0, 1010.06, 52.677, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 5944, 
3.1471, 4.032, -8.5052, 0.1982, 0.2164, 0.1098, 6.1721, 14.7, -6.1, 37.3, 77.45, -23.11, -159.46, 0.0, 1010.06, 52.677, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6016, 
3.1471, 4.032, -8.5052, 0.1982, 0.2164, 0.1098, 6.1721, 14.7, -6.1, 37.3, 77.45, -23.11, -159.46, 0.0, 1010.02, 52.677, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6066, 
3.1471, 4.032, -8.5052, 0.1982, 0.2164, 0.1098, 6.1721, 14.7, -6.1, 37.3, 77.45, -23.11, -159.46, 0.0, 1010.02, 52.677, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6116, 
3.3195, 3.5283, -8.4466, -0.0085, -0.0362, -0.0224, 6.1721, 14.8, -5.6, 38.0, 76.88, -23.11, -159.46, 0.0, 1010.02, 45.66, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6244, 
3.3195, 3.5283, -8.4466, -0.0085, -0.0362, -0.0224, 6.1721, 14.8, -5.6, 38.0, 76.88, -23.11, -159.46, 0.0, 1010.02, 45.66, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6294, 
3.2912, 3.6692, -8.4622, 0.0149, 0.0309, 0.0778, 6.1721, 15.0, -6.0, 38.7, 76.88, -23.11, -159.46, 0.0, 1010.02, 45.66, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6392, 
3.2912, 3.6692, -8.4622, 0.0149, 0.0309, 0.0778, 6.1721, 15.0, -6.0, 38.7, 76.88, -23.11, -159.46, 0.0, 1010.02, 45.66, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6442, 
3.5127, 3.6738, -8.5703, -0.0309, -0.0203, -0.0149, 6.1721, 15.0, -6.0, 38.7, 76.88, -23.11, -159.46, 0.0, 1010.02, 45.66, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6506, 
3.5127, 3.6738, -8.5703, -0.0309, -0.0203, -0.0149, 6.1721, 14.8, -6.0, 38.2, 78.48, -21.99, -158.72, 0.0, 1010.02, 42.129, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6562, 
